Data-hora	eH	PH	BP	PH-S	BT	Nome	Categoria	Chamada?	Bonde?	Chuva?	🗺️	📝	🎨	Post IG	Rota	Ativ. Strava	Ativ. RWGPS	Horário	Partida	Chegada	# presentes	# novos	# strava	kJ anunc.	kJ med.	% Mov	Tempo Total	Tempo Mov	Potência Média	Quilojaules Ag. Total	litros gasolina ag total	Tempo Ag. Total	Tempo Ag. Mov	#midias
2024-09-09 20:00	1	1	-	-	-	Água Preta e Tiburtino	regular	não	não	não	dandan			n/a	https://ridewithgps.com/routes/49272936	https://www.strava.com/activities/12371333101		20:00			2	2	?	142		75%	1:20	1:00	39	284	0.01	2:40	2:00	2
2024-09-16 20:00	2	2	-	-	-	Coruja e Verde	regular	não	não	não	dandan			n/a	https://ridewithgps.com/routes/49272970	https://www.strava.com/activities/12429205174		20:00			3	2	?	184		43%	2:00	0:52	59	552	0.02	6:00	2:36	6
2024-09-23 20:00	3	3	-	-	-	Altos do Sumaré e Verde I+II	regular	sim	não	não	dandan			n/a	https://ridewithgps.com/routes/49272915	https://www.strava.com/activities/12491464227		20:00			2	0	?	179		75%	1:20	1:00	50	358	0.01	2:40	2:00	7
2024-10-01 20:00	4	4	-	-	-	Coruja, Bellini e Parque Lapa	regular	sim	não	não	dandan			n/a	https://ridewithgps.com/routes/49195385	https://www.strava.com/activities/12553198540		20:00			2	1	?	417		75%	2:00	1:30	77	834	0.03	4:00	3:00	43
2024-10-08 20:00	5	5	-	-	-	Santa Cecília e Saracura	regular	sim	não	não	dandan			n/a	https://ridewithgps.com/routes/49195389	https://www.strava.com/activities/12610694157		20:00			5	4	?	245		60%	2:30	1:30	45	1,225	0.04	12:30	7:30	63
2024-10-15 20:00	6	6	-	-	-	Crista de Perdizes, Altos do Água Preta, Tiburtino e Mercedes	regular	não	não	não	dandan			n/a				20:00			1	1	?	150		100%	1:00	1:00	42	150	0.00	1:00	1:00	11
2024-10-22 20:00	7	7	-	-	-	Verde, Anhanguera e Sapateiro	regular	sim	não	não	dandan			n/a	https://ridewithgps.com/routes/49195396	https://www.strava.com/activities/12722429137		20:00			12	8	?	271		67%	3:00	2:00	38	3,252	0.10	36:00	24:00	56
2024-10-24 20:00	8	8	-	-	-	Itororó, Lavapés/Glicério e Aclimação/Cambuci	regular	sim	não	sim	dandan			https://www.instagram.com/p/DBhH6IpPZO3/	https://ridewithgps.com/routes/49195439	https://www.strava.com/activities/12738152353		20:00			4	0	?	300		57%	2:30	1:26	58	1,200	0.04	10:00	5:44	45
2024-10-29 20:15	9	9	-	-	-	Sertões de Pirituba	regular	sim	sim	não	thiagoneves			https://www.instagram.com/p/DBrLDD9u7ZE/	https://ridewithgps.com/routes/49195401	https://www.strava.com/activities/12778430969		20:15			8	2	?	290		50%	2:40	1:20	60	2,320	0.07	21:20	10:40	94
2024-11-02 00:00	10	10	-	-	1	ABC	especial	sim	sim	não	brunoperandin			https://www.instagram.com/p/DBweYi-vMXc/?img_index=1	https://ridewithgps.com/routes/49195458	https://www.strava.com/activities/12807998180					8	5	?	850		39%	9:00	3:30	67	6,800	0.21	72:00	28:00	467
2024-11-05 20:00	11	11	-	-	-	Contornar Pacaembu e Sumaré	regular	sim	não	não	dandan			https://www.instagram.com/p/DB-P8zUOg67/	https://ridewithgps.com/routes/48970565	https://www.strava.com/activities/12833693865		20:00			9	3	?	370		57%	3:00	1:43	60	3,330	0.10	27:00	15:27	50
2024-11-09 20:00	12	12	-	-	-	Mirantes do Tietê com Pico do Urubu	regular	sim	não	não	brunoperandin			n/a	https://ridewithgps.com/routes/49005652	https://www.strava.com/activities/12863105194		20:00			4	0	?	1700		55%	9:40	5:20	89	6,800	0.21	38:40	21:20	222
2024-11-12 20:00	13	13	-	-	-	Margens Ocidentais do Baixo Ipiranga	regular	sim	não	sim	dandan			https://www.instagram.com/p/DCQKAoVuD7f/?img_index=1	https://ridewithgps.com/routes/49029471	https://www.strava.com/activities/12888465226		20:00	20:03	22:25	4	1	?	260		56%	2:22	1:19	55	1,040	0.03	9:28	5:16	79
2024-11-19 20:00	14	14	-	-	-	Margens Destras do Baixo Jaguaré	regular	sim	não	sim	dandan			https://www.instagram.com/p/DChWox3ObhU/	https://ridewithgps.com/routes/49272870	https://www.strava.com/activities/12941059108		20:00	20:21	22:17	1	0	?	523		97%	1:56	1:52	78	523	0.02	1:56	1:52	42
2024-11-20 00:00	15	-	1	-	-	Represa do Guarapiranga	aleatório	não	n/a	não	anaju			n/a		https://www.strava.com/activities/12947693607					4	1	?	520		43%	7:00	3:00	48	2,080	0.06	28:00	12:00	2
2024-11-22 00:00	16	-	-	1	-	Crista de Osasco	suado	não	n/a	não	dandan			n/a	https://ridewithgps.com/routes/49272881	https://www.strava.com/activities/12958186755					3	0	?	750		72%	4:20	3:06	67	2,250	0.07	13:00	9:18	16
2024-11-23 00:00	17	15	-	-	-	Parelheiros	especial	sim	sim	não	dandan			https://www.instagram.com/p/DCpl4FQOqFc/	https://ridewithgps.com/routes/49106874	https://www.strava.com/activities/12967661042			08:13	16:36	8	3	?	789		39%	8:23	3:15	67	6,312	0.19	67:04	26:00	227
2024-11-26 20:00	18	16	-	-	-	Água Preta e Tiburtino	regular	sim	não	não	thiagoneves			https://www.instagram.com/p/DC1bTVfuL0A/	https://ridewithgps.com/routes/51086192	https://www.strava.com/activities/12993978327		20:00	20:36	22:36	8	1	?	260		50%	2:00	1:00	72	2,080	0.06	16:00	8:00	66
2024-11-30 00:00	19	17	2	-	-	Paranapiacaba com Cachoeira	especial	sim	n/a	não	trilheiro			n/a	https://ridewithgps.com/routes/49272926	https://www.strava.com/activities/13019339506			07:46	19:16	6	3	?	850		49%	11:30	5:36	42	5,100	0.15	69:00	33:36	103
2024-12-03 20:00	20	18	-	-	-	Contornar Iquirim e um pouco do Pirajuçara	regular	sim	não	não	dandan	dandan	dandan	https://www.instagram.com/p/DDF8IjTuMaK/	https://ridewithgps.com/routes/49182910	https://www.strava.com/activities/13042450707		20:00	20:29	00:29	9	4	?	400		63%	4:00	2:30	44	3,600	0.11	36:00	22:30	62
2024-12-06 00:00	21	-	-	2	-	Morumbi e Antonico	suado	não	n/a	não	dandan			n/a	https://ridewithgps.com/routes/49272994	https://ridewithgps.com/trips/241423163					4	1	?	614		69%	2:25	1:40	102	2,456	0.07	9:40	6:40	11
2024-12-10 20:00	22	19	-	-	-	Nascentes da Brasilândia	regular	sim	não	sim	dandan	dandan	dandan	https://www.instagram.com/p/DDXvWs7ByTI/	https://ridewithgps.com/routes/49225969	https://www.strava.com/activities/13090380478		20:00	20:33	22:23	3	1	?	330		73%	1:50	1:20	69	990	0.03	5:30	4:00	58
2024-12-13 00:00	23	-	-	3	-	Jaraguá Hidrográfico	suado	não	n/a	não	dandan			n/a	https://ridewithgps.com/routes/49195254	https://www.strava.com/activities/13107838743					5	1	?	650		48%	5:20	2:35	70	3,250	0.10	26:40	12:55	70
2024-12-17 20:00	24	20	-	-	-	Águas de Pinheiros	regular	sim	não	não	dandan	dandan	dandan	https://www.instagram.com/p/DDrYzskuaZy/	https://ridewithgps.com/routes/49267352	https://www.strava.com/activities/13139317867		20:00	20:17	00:12	13	2	7	436		57%	3:55	2:15	54	5,668	0.17	50:55	29:15	114
2025-01-07 20:00	25	21	-	-	-	Verde, Anhanguera e Sapateiro	regular	sim	não	não	anaju	anaju	anaju	https://www.instagram.com/p/DEgLpSQOj37/	https://ridewithgps.com/routes/49195396	https://www.strava.com/activities/13296154816		20:00	20:16	23:46	12	8	6	271		57%	3:30	2:00	38	3,252	0.10	42:00	24:00	28
2025-01-14 20:00	26	22	-	-	-	Contornar Pacaembu e Sumaré	regular	sim	não	não	anaju	anaju	anaju	https://www.instagram.com/p/DEz0L0vud94/?img_index=1	https://ridewithgps.com/routes/48970565	https://www.strava.com/activities/13358311839		20:00	20:36	23:36	22	1	?	370		67%	3:00	2:00	51	8,140	0.25	66:00	44:00	41
2025-01-19 00:00	27	-	-	-	2	Foz do Tamanduateí até sua Nascente	especial	não	não	não	brunoperandin	n/a	n/a	n/a	https://ridewithgps.com/routes/48691963	https://www.strava.com/activities/13399227086					11	4	6	600		47%	6:00	2:50	59	6,600	0.20	66:00	31:10	56
2025-01-21 20:00	28	23	-	-	-	Crista de Sapopema	regular	sim	não	não	dandan	dandan	dandan	sumiu	https://ridewithgps.com/routes/49510455	https://www.strava.com/activities/13419610923		20:00	20:24	23:24	12	7	7	441		70%	3:00	2:06	58	5,292	0.16	36:00	25:12	48
2025-01-28 20:00	29	24	-	-	-	Contornar Anhangabaú	regular	sim	não	não	dandan	dandan	dandan	sumiu	https://ridewithgps.com/routes/49567136	https://www.strava.com/activities/13480213979		20:00	20:20	22:50	5	1	?	340		67%	2:30	1:40	57	1,700	0.05	12:30	8:20	7
2025-02-04 20:00	30	25	-	-	-	Pirajuçara, Água Podre e Crista de Osasco	regular	sim	não	não	dandan	dandan	dandan	sumiu	https://ridewithgps.com/routes/49567174	https://www.strava.com/activities/13543045449		20:00	20:49	00:19	15	5	?	292		48%	3:30	1:40	49	4,380	0.13	52:30	25:00	132
2025-02-11 20:00	31	26	-	-	-	Cabeceiras do Ipiranga	regular	sim	não	não	dandan	dandan	dandan	sumiu	https://ridewithgps.com/routes/49671673	https://www.strava.com/activities/13605202516		20:00	20:10	22:50	26	17	13	291		56%	2:40	1:30	54	7,566	0.23	69:20	39:00	45
2025-02-25 19:30	32	27	-	-	-	Sertões do Mandaqui	regular	sim	não	não	dandan	dandan	dandan	sumiu	https://ridewithgps.com/routes/49741245	https://www.strava.com/activities/13729139008		19:30	20:06	23:21	12	1		307		57%	3:15	1:51	46	3,684	0.11	39:00	22:12	87
2025-03-11 19:30	33	28	-	-	-	Águas do Lavapés e Aclimação	regular	sim	não	sim	dandan	dandan	dandan	sumiu	https://ridewithgps.com/routes/49924264	https://www.strava.com/activities/13857956230		19:30	20:00	21:35	4	0		206		71%	1:35	1:07	51	824	0.02	6:20	4:28	83
2025-03-26 20:00	34	29	-	-	-	Águas Meridionais de Osasco	regular	sim	sim	não	dandan	dandan	dandan	sumiu	https://ridewithgps.com/routes/49999355	https://www.strava.com/activities/13988925441		20:00	20:15	23:10	8	0	6	363		61%	2:55	1:46	57	2,904	0.09	23:20	14:08	75
2025-04-01 20:00	35	30	-	-	-	Subir Pirituba, Surfar Alpes do Jaraguá e Descer Perus	regular	sim	não	não	dandan	dandan	dandan	sumiu	https://ridewithgps.com/routes/50150417	https://www.strava.com/activities/14054565189#kudos		20:00	20:25	22:35	8	2	5	323		69%	2:10	1:30	60	2,584	0.08	17:20	12:00	99
2025-04-08 20:00	36	31	-	-	-	Tiquatira da Foz à Nascente	regular	sim	sim	não	dandan	thiagoneves	dandan	sumiu	https://ridewithgps.com/routes/50149484	https://www.strava.com/activities/14122827694		20:00	20:51	23:26	12	3		294		62%	2:35	1:36	51	3,528	0.11	31:00	19:12	67
2025-04-13 08:00	37	32	-	-	3	Rios Indígenas de Santo André	especial	sim	não	não	brunoperandin	brunoperandin	dandan	https://www.instagram.com/p/DIHLiuKO-vH/	https://ridewithgps.com/routes/49100612	https://www.strava.com/activities/14167917821		08:00			28	-		750		58%	5:30	3:10	66	21,000	0.64	154:00	88:40	172
2025-04-15 20:00	38	33	-	-	-	Moinho Velho A Outra Margem do Ipiranga	regular	sim	não	não	dandan	pedpaula	dandan	sumiu	https://ridewithgps.com/routes/50331319	https://www.strava.com/activities/14190280578		20:00	20:25	23:33	10	4		314		61%	3:08	1:55	46	3,140	0.10	31:20	19:10	70
2025-04-22 20:00	39	34	-	-	-	Crista do Campo Limpo via Corveta-Camacuã	regular	sim	não	não	dandan	amarmo	dandan	sumiu	https://ridewithgps.com/routes/50411729	https://www.strava.com/activities/14258680358		20:00	20:20	23:26	14	4		351		58%	3:06	1:48	54	4,914	0.15	43:24	25:12	52
2025-05-06 20:00	40	35	-	-	-	Os Vales Secos do Tietê dos Remédios à Osasco	regular	sim	sim	não	dandan	pedpaula	pedpaula, dandan	https://www.instagram.com/p/DJSCz_SOyyS/	https://ridewithgps.com/routes/50480798	https://www.strava.com/activities/14401268853	https://ridewithgps.com/trips/279596009	20:00	20:19	23:28	12	4		316		52%	3:09	1:39	53	3,792	0.11	37:48	19:48	112
2025-05-14 20:00	41	36	-	-	-	Sopés da Cantareira: Alto Piqueri e Tremembé	regular	sim	sim	não	thiagoneves	thiagoneves	thiagoneves	https://www.instagram.com/p/DJmCzVGuRwK/	https://www.strava.com/routes/3350848210103869176			20:00
2025-05-20 20:00	42	37	-	-	-	Sertões de Pirituba 2 Margem Esquerda do Verde e Alto do Morro Grande	regular	sim	não	não	dandan	dandan	dandan	https://www.instagram.com/p/DJ4WBFBODqO/	https://ridewithgps.com/routes/50844953	https://www.strava.com/activities/14546404625	https://ridewithgps.com/trips/285431973	20:00	20:14	23:26	9	1	4	424		47%	3:12	1:31	78	3,816	0.12	28:48	13:39	123
2025-05-27 20:00	43	38	-	-	-	Pontos de Sela do Centro-Norte	regular	sim	não	não	dandan	dandan	dandan	https://www.instagram.com/p/DKKpRsjOxkw/	https://ridewithgps.com/routes/50957749	https://www.strava.com/activities/14616955042	https://ridewithgps.com/trips/288284179	20:00	20:35	23:07	13	1		317		71%	2:32	1:48	49	4,121	0.12	32:56	23:24	91
2025-06-01 07:00	44	-	-	4	-	Cânions da Brasilandia	especial	não	não	não	thiagoneves	n/a	n/a	n/a		https://www.strava.com/activities/14666198000	https://ridewithgps.com/trips/290331507	07:00	07:34	14:34	4	0		650		33%	7:00	2:20	77	2,600	0.08	28:00	9:20	185
2025-06-03 20:00	45	39	-	-	-	Água Espraiada da Foz à Nascente	regular	sim	não	não	dandan	alef	dandan	https://www.instagram.com/p/DKag2XjuRJd/	https://ridewithgps.com/routes/50943723	https://www.strava.com/activities/14689988215	https://ridewithgps.com/trips/291236864	20:00	20:26	23:07	9	3	2	280		57%	2:41	1:32	51	2,520	0.08	24:09	13:48	125
2025-06-10 20:00	46	40	-	-	-	Crista da Mooca e Médio-Alto Oratório	regular	sim	sim	não	dandan	dandan	dandan	https://www.instagram.com/p/DKuhIZVONOA/	https://ridewithgps.com/routes/51051113	https://www.strava.com/activities/14761570137	https://ridewithgps.com/trips/294299175	20:00	20:38	23:45	13	5	6	399		67%	3:07	2:06	53	5,187	0.16	40:31	27:18	110
2025-06-17 20:00	47	41	-	-	-	Águas Meridionais da Colina Histórica	regular	sim	não	não	alef	gmard, alef	dandan	https://www.instagram.com/p/DLALcgZOaN7/	https://ridewithgps.com/routes/51282559	https://www.strava.com/activities/14838686871		20:00		03:03	16	0	9	340		66%	3:03	2:00	47	5,440	0.16	48:48	32:00	77
